其他地区,#genre#
MBC Daejeon (대전 MBC) (720p) [Not 24/7],https://ns1.tjmbc.co.kr/live/myStream.sdp/playlist.m3u8
MBC Gwangju (광주 MBC) (1080p) [Geo-blocked] [Not 24/7],https://media.kjmbc.co.kr/hls/live/stream/playlist.m3u8
MBC Gyeongnam (경상 MBC) (1080p) [Not 24/7],https://624a79c87201d.streamlock.net/MBCTV/TV1.stream/playlist.m3u8
MBC Jeju (제주 MBC) (352p) [Not 24/7],https://wowza.jejumbc.com/live/tv_jejumbc/playlist.m3u8
MBC Mokpo (목포 MBC) (720p) [Not 24/7],http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
MBC Net (480p) [Geo-blocked],http://mytv.dothome.co.kr/ch/catv/28.php
MBC Ulsan (울산 MBC) (540p) [Not 24/7],https://5ddfd163bd00d.streamlock.net/nHDTV/nHDTV/playlist.m3u8
MBC Yeosu (여수 MBC) (1080p) [Not 24/7],https://5c3639aa99149.streamlock.net/live_TV/tv/playlist.m3u8
MTN (720p),http://183.110.27.87/mtnlive/720/playlist.m3u8
NBS Korea Agricultural Broadcasting (720p),https://media.joycorp.co.kr:4443/live/ngrp:live_all/playlist.m3u8
NHTV (720p),http://nonghyup.flive.skcdn.com/nonghyup/_definst_/nhlive/playlist.m3u8
ONE TV Asia (720p),http://198.16.64.10:8278/One/playlist.m3u8?ct=19225&tid=MB4B6226023862260238&tsum=a05a992f9150d8a389300bf4e108767f
SBS CJB (CJB청주방송) (540p) [Not 24/7],http://1.222.207.80:1935/live/cjbtv/playlist.m3u8
SBS JIBS (JIBS SBS) (720p) [Not 24/7],http://123.140.197.22/stream/1/play.m3u8
SBS JTV (JTV전주방송) (406p) [Not 24/7],https://61ff3340258d2.streamlock.net/jtv_live/myStream/playlist.m3u8
SBS KBC (KBC 광주방송) (1080p) [Not 24/7],http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
SBS KNN (KNN 부산경남대표방송) (1080p),http://220.95.92.160:9981/stream/channelid/1445999617
SBS TBC (TBC 대구방송) (540p) [Not 24/7],http://221.157.125.239:1935/live/psike/playlist.m3u8
SBS TJB (1080p) [Not 24/7],http://1.245.74.5:1935/live/tv/.m3u8
SBS UBC (UBC 울산방송) (540p) [Not 24/7],http://59.23.231.102:1935/live/UBCstream/playlist.m3u8
TBS Seoul (720p),https://cdntv.tbs.seoul.kr/tbs/tbs_tv_web.smil/playlist.m3u8
TV Chosun 2 (720p),http://onair2.cdn.tvchosun.com/origin2/_definst_/tvchosun_s3/playlist.m3u8
TVWorkNet (480p),http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
WBC TV (1080p),https://cdnlive179.smartucc.kr/smartlive/312/46324be24454bd98f785039457ac695d/playlist.m3u8

教育,#genre#
EBS e (400p),http://ebsonair.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
EBS+ 2 (400p),http://ebsonair.ebs.co.kr/plus2familypc/familypc1m/playlist.m3u8

儿童,#genre#
EBS kids (400p),http://ebsonair.ebs.co.kr/ebsufamilypc/familypc1m/playlist.m3u8
KBS Kids (480p),http://ye23.vip/z7z8/2021/kbs2020.php?id=9
Pluto TV BabyFirst (720p) [Not 24/7],https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5ebac49ce4dc8b00078b23bc/master.m3u8?advertisingId=&appName=web&appVersion=5.14.0-0f5ca04c21649b8c8aad4e56266a23b96d73b83a&app_name=web&clientDeviceType=0&clientID=6fbead95-26b1-415d-998f-1bdef62d10be&clientModelNumber=na&deviceDNT=false&deviceId=6fbead95-26b1-415d-998f-1bdef62d10be&deviceLat=19.4358&deviceLon=-99.1441&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=88.0.4324.150&marketingRegion=VE&serverSideAds=false&sessionID=b8e5a857-714a-11eb-b532-0242ac110002&sid=b8e5a857-714a-11eb-b532-0242ac110002&userId=

Sports,#genre#
Golf & PBA (540p),http://mytv.dothome.co.kr/ch/catv/25.php

新闻,#genre#
